ber_old_score,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G
A1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A2,8.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A3,6.40,7.20,-,-,-,-,-,-,-,-,-,-,-,-,-
B1,6.00,5.00,6.00,-,-,-,-,-,-,-,-,-,-,-,-
B2,5.00,4.00,3.60,2.40,-,-,-,-,-,-,-,-,-,-,-
B3,4.40,3.50,2.93,2.40,3.20,-,-,-,-,-,-,-,-,-,-
C1,4.33,3.60,3.20,2.93,3.60,4.80,-,-,-,-,-,-,-,-,-
C2,3.89,3.20,2.80,2.50,2.67,3.00,3.20,-,-,-,-,-,-,-,-
C3,3.60,2.97,2.67,2.40,2.50,2.67,2.40,3.20,-,-,-,-,-,-,-
D1,3.39,2.83,2.50,2.26,2.31,2.38,2.25,2.18,2.67,-,-,-,-,-,-
D2,3.06,2.56,2.29,2.08,2.08,2.11,1.69,1.63,1.47,1.32,-,-,-,-,-
E1,2.86,2.41,2.13,1.94,1.92,1.92,1.58,1.52,1.39,1.28,2.00,-,-,-,-
E2,2.64,2.24,1.95,1.76,1.69,1.71,1.41,1.28,1.22,1.02,1.25,1.50,-,-,-
F,2.49,2.12,1.85,1.68,1.66,1.62,1.39,1.32,1.24,1.22,1.33,1.58,1.82,-,-
G,2.27,1.94,1.70,1.55,1.52,1.48,1.28,1.22,1.15,1.08,1.13,1.19,1.30,1.08,-
